'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2024,'M1',0.1,15947.157999998246,41927.553999997326,34494.20049999736,9852.55850000076,77175.31349999447,16112.105999999632,12356.20474999998,48080.27174999524,23170.88949999643,24388.33699999769,23064.642249998866,26869.182249998717,14485.951750000371,46647.53999999224,181435.05024999517,136818.66599998582,367924.3697500516,459101.6259998576,1625558.8972591406
2024,'M1',0.2,15898.75124999825,41917.62549999732,34548.883499997355,9846.08125000076,77235.26674999447,16089.596249999651,12407.976999999979,48104.254499995244,23176.995499996417,24385.095749997712,23037.432999998877,26892.8189999987,14449.85275000037,46595.02474999224,181522.53274999541,136856.8917499858,367990.63200005144,458961.27399985766,1624713.3457591336
2024,'M1',1.0,15946.138999998242,41961.61924999732,34523.726249997366,9859.827750000763,77176.08049999447,16067.430249999647,12312.60174999998,48039.771749995256,23183.98499999642,24391.403749997702,23046.992749998873,26858.49799999871,14508.828500000378,46612.656749992224,181607.87849999545,136640.18649998592,367876.90450005134,459402.7979998575,1624352.9467591306
2024,'M1',0.5,15963.463499998235,42053.58499999731,34485.671999997365,9812.662250000758,77221.91524999446,16097.098499999656,12318.606249999977,47999.571999995234,23208.88999999642,24410.999499997703,23021.431249998885,26895.4009999987,14486.67025000037,46664.29874999223,181483.0969999955,136805.45749998582,367975.9667500511,459139.6379998576,1625066.8140091365
2025,'M1',0.5,16278.961249998138,42689.88374999716,34517.30724999737,9892.546500000748,77374.40324999446,16123.152249999634,12643.792499999963,49007.24674999489,23327.5812499964,24387.233999997687,22808.101749998987,26896.1407499987,14489.06850000037,47467.72174999198,182034.9982499955,137909.58624998553,370435.4197500512,505023.045999843,1810270.3155106795
2025,'M1',0.2,16230.900249998143,42555.787749997166,34578.37349999736,9936.725250000753,77387.75474999446,16093.395749999645,12678.846249999966,49139.70724999489,23317.473749996396,24381.416499997707,22848.405249998978,26893.558749998698,14449.85275000037,47427.229249991986,182107.29224999552,137934.56274998552,370492.19775005186,504979.185999843,1809909.9165106765
2025,'M1',1.0,16274.855749998136,42604.826499997165,34564.607249997374,9934.603750000755,77322.57749999447,16083.629249999634,12633.196999999966,49092.867999994894,23307.062249996405,24401.584999997693,22854.257749998964,26865.513749998703,14508.828500000378,47452.79024999199,182171.3429999955,137801.16549998557,370448.41225005145,505373.9259998429,1809549.5175106735
2025,'M1',0.1,16240.153749998153,42594.69874999717,34529.96649999736,9940.27850000076,77327.80149999447,16122.836249999627,12613.88149999996,49106.14949999489,23282.649999996414,24445.044749997698,22865.38049999896,26873.059999998717,14488.350000000371,47447.21999999198,182048.5042499955,137911.41374998554,370430.25150005176,505020.121999843,1810769.3295106837
2026,'M1',0.1,16312.129999998142,42543.51224999723,34393.51324999741,9949.050500000758,77437.40224999447,16123.030499999626,12609.093999999992,49334.13349999477,23382.120999996398,24765.27049999772,22887.103249998952,26873.799749998714,14491.488000000372,47536.699249991994,182396.06524999556,138145.7707499856,371101.64875005174,550931.3080008891,1996832.2440122338
2026,'M1',0.2,16306.459499998136,42483.731749997234,34418.18999999741,9945.497250000753,77497.35549999446,16093.589999999642,12659.187999999982,49364.55324999477,23377.648499996394,24622.48024999772,22850.151249998966,26894.2984999987,14458.527000000371,47518.07099999201,182453.05299999582,137977.43324998562,370971.6707500516,550769.0260008827,1995972.8310122266
