'year','subsidence_threshold','An Giang','Bạc Liêu','Bến Tre','Cần Thơ','Cà Mau','Đồng Tháp','Hậu Giang','Kiên Giang','Long An','Sóc Trăng','Tiền Giang','Trà Vinh','Vĩnh Long','Up stream zone','Coastal zone','Midle zone','total_benefit','total_benefit_5','total_benefit_34'
2028,'M1',1.0,15009.087749998404,29994.994249998188,34460.9702499974,9796.265500000753,56597.88599999626,15807.209249999654,12316.212499999974,44575.36274999498,21586.888999996514,21691.24874999766,22837.99249999888,26982.8249999987,14448.190000000373,44247.60174999268,147033.19624999058,131919.04474998635,326105.1335000418,622500.5940037158,2329106.2605072097
2028,'M1',0.5,15095.729749998378,31050.270499998096,34449.27174999741,9778.038000000744,56784.08024999625,15794.893749999655,12377.595499999974,44796.669749995,21718.971249996517,21596.968249997655,22821.001499998867,26932.981749998708,14446.45350000038,44288.016749992676,148243.95174999052,132184.87399998636,327642.9255000423,622662.8760037222,2332024.106257136
2028,'M1',0.2,15097.453499998377,30738.842499998133,34474.44474999739,9787.17925000075,56608.682249996265,15815.954249999655,12371.106999999962,44771.04274999497,21773.75399999649,21404.54499999767,22800.90049999888,26950.74499999871,14455.483000000373,44455.10974999261,147460.77724999055,132256.67899998632,327050.13375004183,622952.3520037336,2330714.194507169
2029,'M1',1.0,15274.615499998317,42638.050499997305,34548.44974999738,9799.189500000746,77790.82824999443,15814.720749999657,12372.515499999967,49050.48699999468,22839.82674999641,24458.74949999748,23025.342499998773,26983.5647499987,14448.190000000373,45054.00024999249,183397.56749999613,137576.77974998584,369044.5302500519,664745.0840053842,2517303.8460024553
2029,'M1',0.1,15263.080749998317,42714.69249999728,34544.54324999738,9807.187250000745,77668.84349999446,15808.91924999966,12247.002749999985,49282.07224999467,22757.15449999645,24472.01874999749,23019.52699999878,26896.952249998725,14513.591500000382,44948.88624999253,183564.56874999616,137465.94774998585,368995.5855000507,665277.2520054053,2517941.475002439
2029,'M1',0.2,15236.482999998332,42712.9847499973,34561.21274999738,9785.191500000747,77656.07874999446,15820.074499999659,12369.078249999968,49239.39074999467,22782.24524999643,24410.560249997467,22998.10524999878,26951.48474999871,14458.621000000372,44941.85549999251,183620.76549999617,137402.70699998585,368981.5107500511,665217.3100054029,2518863.264752416
2029,'M1',0.5,15269.627499998336,42718.26699999729,34555.634749997385,9773.652000000742,77644.34649999446,15813.81174999965,12378.957999999975,49215.359999994675,22820.454999996426,24384.98499999748,23013.783999998774,26939.257749998702,14446.45350000038,45018.0679999925,183513.26449999618,137427.07749998584,368974.5927500509,664939.5300053919,2520221.6917523816
2030,'M1',1.0,15249.482499998332,39438.36025000013,34504.800249997395,9797.727500000747,74847.05224999627,15811.251249999657,12369.938749999961,49061.977749994614,22831.284999996442,24455.895499997467,22870.37049999885,26984.3044999987,14448.190000000373,44816.01824999258,178257.91404999522,136580.5209499873,362670.63600015925,706676.1212070354,2699632.472399141
2030,'M1',0.2,15252.58924999833,39476.20720000016,34504.75649999739,9788.115500000746,74812.06534999628,15818.066999999659,12402.30274999997,49155.637499994635,22864.35024999644,24397.472249997463,22824.34124999887,26955.362499998708,14458.621000000372,44795.81824999256,178545.24114999507,136352.64614998733,362709.88830016,707149.8092070542,2701444.1704491074
2030,'M1',0.1,15279.588499998314,39498.773050000134,34481.723999997404,9780.87125000074,74814.40544999637,15806.911749999661,12301.969749999982,48818.81824999492,22652.695999996427,25210.854999997384,22864.554999998858,26859.929499998732,14516.729500000383,44751.643499992606,178730.99109999512,136382.07889998733,362887.8270001565,707169.4000070546,2703869.932949046
