climat_code,Nam,thang,tmax_avg,tmax_max,pre_min
2,2021,3,33.69,37.89,0
2,2021,4,34.83,39.18,1.2
2,2021,5,34.25,37.98,39.6
2,2021,6,32.61,34.64,34.2
2,2021,7,31.78,33.8,12.6
2,2021,8,31.44,33.11,35.7
2,2021,9,31.3,34,94.8
2,2021,10,31.57,33.18,134.7
2,2021,11,31.99,34.05,0
2,2021,12,31.54,34.62,0
2,2022,1,31.48,36.08,0
2,2022,2,32.42,35.25,0
2,2022,3,34.2,38.06,0
2,2022,4,35.16,40.02,0
2,2022,5,34.63,38.62,21.3
2,2022,6,32.67,37.47,34.8
2,2022,7,32.2,34.77,29.4
2,2022,8,31.49,34.2,37.2
2,2022,9,31.23,33.99,0
2,2022,10,31.76,35.17,69.3
2,2022,11,31.72,34.83,23.4
2,2022,12,30.83,33.74,0
2,2023,1,31.55,35.27,0
2,2023,2,32.46,35.12,0
2,2023,3,33.84,36.99,0
2,2023,4,35.14,38.93,0.3
2,2023,5,34.48,40.3,21.6
2,2023,6,32.51,35.45,38.7
2,2023,7,31.79,34.83,101.4
2,2023,8,31.27,33.86,40.5
2,2023,9,31.28,32.56,0
2,2023,10,31.55,33.16,161.7
2,2023,11,31.81,34,14.7
2,2023,12,31.6,34.29,0.6
2,2024,1,31.65,33.75,0
2,2024,2,32.18,33.88,0
2,2024,3,33.88,35.73,0
2,2024,4,34.82,40.58,0
2,2024,5,34.28,39.3,42.6
2,2024,6,32.95,37.19,0
2,2024,7,32.13,34.01,49.2
2,2024,8,31.64,34.03,10.2
2,2024,9,31.34,33.1,58.5
2,2024,10,31.48,34.58,0
2,2024,11,31.75,33.91,17.7
2,2024,12,30.93,33.87,0
2,2025,1,31.77,34.49,0
2,2025,2,32.44,35.87,0
2,2025,3,34,37.57,0
2,2025,4,35.18,39.96,0
2,2025,5,34.69,38.8,0
2,2025,6,32.95,34.92,42
2,2025,7,32.22,34.5,65.4
2,2025,8,31.81,33.87,16.8
2,2025,9,31.29,33.21,100.8
2,2025,10,31.58,33.4,71.7
2,2025,11,31.67,33,0
2,2025,12,30.85,35.4,0
2,2026,1,31.32,34.64,0
2,2026,2,32.33,36.85,0
2,2026,3,34.07,38.31,0
2,2026,4,34.96,39.53,0
