climat_code,Nam,thang,tmax_avg,tmax_max,ttb,pre_min
2,2023,11,31.48,32.88,27.19,0
2,2023,12,30.89966667,33.17,26.24,0
2,2024,1,31.81,34.14,26.1,0
2,2024,2,32.96766667,34.83,26.63,0
2,2024,3,34.46766667,36.63,28.7,0
2,2024,4,34.93266667,36.73,30.16,0
2,2024,5,34.153,36.77,29.03,18.6
2,2024,6,32.25333333,34.32,28.15,0
2,2024,7,31.586,34.15,27.35,0
2,2024,8,31.54533333,34.08,27.42,0
2,2024,9,31.54333333,32.89,28.05,39
2,2024,10,31.75733333,33.05,28.3,83.7
2,2024,11,31.61533333,32.85,26.04,18
2,2024,12,31.05766667,33.05,23.83,0.3
2,2025,1,32.144,34.67,26.64,0
2,2025,2,32.91533333,34.16,26.6,0
2,2025,3,34.42566667,36.59,28.16,0
2,2025,4,35.06033333,36.74,29.25,1.5
2,2025,5,34.27766667,36.78,28.94,0
2,2025,6,32.53266667,36.94,27.83,0
2,2025,7,32.20266667,34.38,27.94,0
2,2025,8,31.73566667,33.59,28.6,0
2,2025,9,31.662,33.28,27.79,0
2,2025,10,31.628,32.69,27.89,92.4
2,2025,11,31.77133333,33.02,27.25,0
2,2025,12,31.27133333,34.1,25.79,0.9
2,2026,1,31.77466667,34.09,25.78,0
2,2026,2,33.215,35.09,27.19,0
2,2026,3,34.69133333,36.52,28.38,0
2,2026,4,35.509,37.5,29.91,0
2,2026,5,34.405,37.23,29.86,0
2,2026,6,32.687,34.47,29.4,0
2,2026,7,31.88233333,34.06,29.02,8.4
2,2026,8,31.45933333,33.47,28.83,0
2,2026,9,31.449,33.03,29.17,0
2,2026,10,31.95,33.3,28.71,57.3
2,2026,11,31.78633333,33.98,28.21,30.9
2,2026,12,31.31833333,34.26,26.01,0
2,2027,1,31.726,33.11,26.39,0
2,2027,2,33.34833333,35.23,27.68,0
2,2027,3,34.684,36.29,28.43,0
2,2027,4,35.66866667,37.66,28.9,0
2,2027,5,34.13433333,36.41,29.01,0
2,2027,6,32.524,34.65,28.38,9.6
2,2027,7,31.89766667,34.09,27.68,0
